category,skills
Software Engineering Jobs,"['enterprise', 'python', 'php', 'scripting', 'software solutions', 'bash', 'tcl', 'perl']"
Software Engineering Jobs,"['enterprise', 'python', 'php', 'scripting', 'software solutions', 'bash', 'tcl', 'perl']"
Software Engineering Jobs,"['python', 'enterprise', 'catering', 'data science', 'software solutions', 'model development', 'machine learning']"
Software Engineering Jobs,"['python', 'enterprise', 'catering', 'data science', 'software solutions', 'model development', 'machine learning']"
Software Engineering Jobs,"['python', 'nosql', 'cassandra', 'ruby', 'postgresql', 'mongodb', 'mysql']"
Software Engineering Jobs,"['python', 'php', 'nosql', 'flask', 'hadoop', 'mongodb', 'redis', 'laravel', 'mysql', 'aws', 'azure', 'mariadb']"
Software Engineering Jobs,"['html5', 'javascript', 'nodejs', 'css']"
Software Engineering Jobs,"['java', 'python', 'web technologies', 'web', 'django', 'php', 'open source']"
Software Engineering Jobs,"['it', 'javascript']"
Software Engineering Jobs,"['javascript', 'sheets', 'forms', 'video', 'google forms', 'teams', 'google']"
Software Engineering Jobs,"['devops', 'windows', 'linux']"
Software Engineering Jobs,"['devops', 'python', 'linux']"
Software Engineering Jobs,[]
Software Engineering Jobs,"['java', 'junit', 'rest', 'hibernate', 'git', 'oracle', 'spring', 'db', 'hub', 'aws']"
Software Engineering Jobs,"['java', 'junit', 'rest', 'hibernate', 'git', 'oracle', 'spring', 'db', 'hub', 'aws']"
Software Engineering Jobs,"['open source', 'javascript']"
Software Engineering Jobs,"['javascript', 'ios', 'android', 'studio', 'css', 'android studio']"
Software Engineering Jobs,"['javascript', 'nodejs', 'mean stack', 'mysql', 'angular']"
Software Engineering Jobs,"['cloud', 'ansi sql', 'spark', 'sql', 'ansi']"
Software Engineering Jobs,[]
Software Engineering Jobs,"['reactjs', 'angular', 'mongodb', 'docker', 'aws', 'azure']"
Software Engineering Jobs,"['automation', 'javascript', 'html', 'google analytics', 'firebase', 'google', 'prototype', 'analytics', 'testing']"
Software Engineering Jobs,"['c++', 'c', 'embedded', 'embedded software', 'embedded c', 'embedded systems']"
Software Engineering Jobs,"['technical documentation', 'documentation', 'nodejs', 'career development', 'angularjs']"
Software Engineering Jobs,"['it', 'application', 'information technology', 'technology']"
Java Jobs,"['spring security', 'java', 'cassandra', 'security', 'spring boot', 'boot', 'spring', 'microservices', 'redis', 'kafka']"
Java Jobs,"['xml', 'web', 'soap', 'hpux', 'web services', 'posix']"
Java Jobs,['java']
Java Jobs,"['unix', 'java', 'shell scripting', 'scripting', 'application', 'architecture', 'angular']"
Java Jobs,"['ios', 'java', 'android']"
Java Jobs,"['ios', 'java', 'android']"
Java Jobs,['java']
